2022-04-12 13:26:08,527 INFO    MainThread:18922 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-12 13:26:10,067 INFO    MainThread:18922 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-12 13:26:10,073 INFO    MainThread:18922 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-12 13:26:10,074 INFO    MainThread:18922 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-12 13:26:10,662 INFO    MainThread:18922 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-12 13:26:10,669 INFO    MainThread:18922 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-12 13:26:10,669 INFO    MainThread:18922 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-12 13:26:11,907 INFO    MainThread:18922 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-12 13:26:12,685 INFO    MainThread:18922 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-12 13:26:12,685 INFO    MainThread:18922 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-12 13:26:26,549 INFO    MainThread:18922 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-12 13:26:27,516 INFO    MainThread:18922 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-12 13:26:27,516 INFO    MainThread:18922 [jupyter.py:save_ipynb():374] not saving jupyter notebook
